model,client,horizon,rmse,mae,mean_actual,nmae,nrmse
TabPFN-TS,133,24,1749.1233,1409.8417,10882.916666666666,0.12954631034878825,0.16072192350396264
TabPFN-TS,133,48,1744.6825,1399.9488,10897.291666666666,0.12846759018869366,0.16010239547288127
TabPFN-TS,133,168,1809.4154,1548.1694,10532.994047619048,0.1469828420106208,0.17178547636310618
TabPFN-TS,220,24,35.7677,28.7749,643.375,0.04472492714202448,0.055593860501262866
TabPFN-TS,220,48,37.216,29.1011,650.0208333333334,0.04476948815743085,0.05725354956571905
TabPFN-TS,220,168,67.4866,52.1416,677.3988095238095,0.07697326784003936,0.0996260977302883
TabPFN-TS,29,24,105.678,93.493,181.33333333333334,0.5155863970588235,0.5827830882352941
TabPFN-TS,29,48,107.9965,96.0789,202.95833333333334,0.4733922397864915,0.5321116813795935
TabPFN-TS,29,168,114.3526,104.3139,152.20833333333334,0.6853363263071448,0.7512900082124281
TabPFN-TS,62,24,12.4456,9.6646,157.625,0.06131387787470262,0.07895701823949247
TabPFN-TS,62,48,15.1668,9.9643,158.25,0.062965560821485,0.09584075829383887
TabPFN-TS,62,168,14.0412,10.2159,158.75595238095238,0.0643497131716096,0.08844518765700574
TabPFN-TS,269,24,9.4257,7.6188,303.375,0.025113473423980223,0.031069468479604453
TabPFN-TS,269,48,10.0875,8.0926,306.0,0.026446405228758168,0.032965686274509805
TabPFN-TS,269,168,21.5629,10.5781,304.9761904761905,0.03468500273245374,0.0707035521898665
SeasonalNaive,313,24,10674.365711054374,7387.5,160037.5,0.046161056002499416,0.06669915308008668
SeasonalNaive,313,48,12876.836438608152,9475.0,162718.75,0.058229306702515846,0.07913554177750352
SeasonalNaive,313,168,44006.97252654834,27798.214285714286,185339.88095238095,0.1499850660466132,0.2374393050239143
SeasonalNaive,155,24,2938.754044375496,2505.5,68197.625,0.03673881605114548,0.04309173588340497
